qseqid,sample,pmatch_gsnap,pmatch_rapsearch,qlength,step_change,other_blast_contigs,blast_hits_gsnap_acc,blast_hits_gsnap_taxid,blast_hits_gsnap_lca,blast_hits_rapsearch_acc,blast_hits_rapsearch_taxid,blast_hits_rapsearch_lca,short,low_depth,blast_gsnap_ntax,blast_rapsearch_ntax,kingdom_gsnap,kingdom_rapsearch,taxid,kingdom,scientific_name,rank,Division,Genus,CommonName,cov
NODE_152_length_564_cov_2.367556,CMS001_048_Ra_S5,0.9893617021276596,0.851063829787234,564,False,23,"[""'CP007448.2'"", "" 'CP009458.1'"", "" 'CP010376.2'"", "" 'CP010557.1'"", "" 'CP018814.1'""]","['1443113', ' 158822', ' 299766', ' 54291', ' 550']",91347,"[""'ORC94772.1'"", "" 'ORD31627.1'"", "" 'PLC65554.1'""]","['562', ' 562', ' 1981983']",543,False,False,5,3,Bacteria,Bacteria,91347,Bacteria,Enterobacterales,order,enterobacteria,NA,NA,2.367556
NODE_7_length_3112_cov_21.716310,CMS001_048_Ra_S5,0.98939588688946,0.9983933161953727,3112,False,56,"[""'KP642119.1'"", "" 'KP642120.1'""]","['1628188', ' 1628188']",1628188,"[""'AJT39596.1'"", "" 'AJT39597.1'""]","['1628188', ' 1628188']",1628188,False,False,2,2,Viruses,Viruses,1628188,Viruses,Narnaviridae environmental sample,species,viruses,NA,NA,21.716310
NODE_17_length_1551_cov_3.563772,CMS001_048_Ra_S5,0.9993552546744036,0.2488716956802063,1551,False,30,"[""'AJ428514.1'"", "" 'AY172581.1'"", "" 'DQ673916.1'"", "" 'KM577635.1'""]","['10116', ' 10116', ' 10116', ' 10116']",10116,"[""'PWS23220.1'""]",['1352'],1352,False,False,2,1,Chordata,Bacteria,10116,Chordata,Rattus norvegicus,species,rodents,Rattus,Norway rat,3.563772
NODE_5_length_3867_cov_20.863325,CMS001_048_Ra_S5,0,0.9454357382984224,3867,False,49,[],[],NA,"[""'AIF71031.1'"", "" 'ATQ62690.1'"", "" 'AWJ96711.1'"", "" 'AWK27465.1'""]","['1980610', ' 1980610', ' 1980610', ' 1980610']",1980610,False,False,0,2,NA,Viruses,1980610,Viruses,Phasi Charoen-like phasivirus,species,viruses,NA,NA,20.863325
NODE_332_length_422_cov_9.782609,CMS001_048_Ra_S5,0.9976303317535544,0.8507109004739336,422,False,11,"[""'CP003282.1'"", "" 'CP009227.1'""]","['889378', ' 1539298']",137,"[""'EEZ33517.1'""]",['520449'],520449,False,False,2,1,Bacteria,Bacteria,137,Bacteria,Spirochaetaceae,family,spirochetes,NA,NA,9.782609
NODE_597_length_346_cov_2.955390,CMS001_048_Ra_S5,0,0.7109826589595376,346,False,45,[],[],NA,"[""'WP_011253795.1'"", "" 'WP_062015159.1'""]","['442', ' 376620']",441,False,False,0,2,NA,Bacteria,441,Bacteria,Gluconobacter,genus,a-proteobacteria,NA,NA,2.955390
NODE_21_length_1417_cov_35.092537,CMS001_048_Ra_S5,0,0.5688073394495413,1417,False,18,[],[],NA,"[""'ATQ62691.1'"", "" 'YP_009505329.1'""]","['1980610', ' 1980609']",1980421,False,False,0,2,NA,Viruses,1980421,Viruses,Phasivirus,genus,viruses,NA,NA,35.092537
NODE_255_length_469_cov_3.163265,CMS001_048_Ra_S5,0,0.1961620469083156,469,False,36,[],[],NA,"[""'WP_064275315.1'"", "" 'WP_099211466.1'""]","['38307', ' 38307']",38307,False,False,0,2,NA,Bacteria,38307,Bacteria,Gluconobacter cerinus,species,a-proteobacteria,Gluconobacter,NA,3.163265
NODE_9_length_421_cov_3.369186,CMS002_0Water2_Rb_S139_L004,0.997624703087886,0.8242280285035629,421,False,71,"[""'AE017283.1'"", "" 'CP009215.1'"", "" 'CP012351.1'"", "" 'CP012647.1'""]","['267747', ' 401472', ' 1747', ' 1747']",1760,"[""'EFT57008.1'"", "" 'ESK57859.1'""]","['765112', ' 1226748']",1747,False,False,3,2,Bacteria,Bacteria,1760,Bacteria,Actinobacteria,class,actinobacteria,NA,NA,3.369186
NODE_3_length_612_cov_2.048598,CMS002_0Water2_Rb_S139_L004,0.9983660130718954,0.9297385620915032,612,False,46,"[""'AL935263.2'"", "" 'AP018405.1'"", "" 'CP010528.1'"", "" 'CP011769.1'""]","['220668', ' 1590', ' 1590', ' 1590']",1590,"[""'PNH17403.1'""]",['147802'],147802,False,False,2,1,Bacteria,Bacteria,1590,Bacteria,Lactobacillus plantarum,species,firmicutes,Lactobacillus,NA,2.048598
NODE_11_length_409_cov_2.364458,CMS002_0Water2_Rb_S139_L004,0.6601466992665037,0.9902200488997556,409,False,8,"[""'AB110484.1'"", "" 'AB195267.1'"", "" 'CP017637.1'"", "" 'CP029425.1'"", "" 'CP029426.1'""]","['29448', ' 375', ' 375', ' 931866', ' 1404768']",374,"[""'OBZ15173.1'""]",['1743142'],1743142,False,False,4,1,Bacteria,Bacteria,1743142,Bacteria,Bacillus sp. FJAT-26390,species,firmicutes,Bacillus,NA,2.364458
NODE_48_length_260_cov_2.338798,CMS002_0Water2_Rb_S139_L004,0.9961538461538462,0.9307692307692308,260,False,52,"[""'AE017283.1'"", "" 'CP012351.1'"", "" 'CP012647.1'""]","['267747', ' 1747', ' 1747']",1747,"[""'PTN68794.1'""]",['1717'],1717,True,False,2,1,Bacteria,Bacteria,1747,Bacteria,Cutibacterium acnes,species,high GC Gram+,Cutibacterium,NA,2.338798
NODE_174_length_664_cov_3.650767,CMS002_047b_Rb_S194_L004,0.8990963855421686,0.6822289156626506,664,False,19,"[""'JN603934.1'"", "" 'JN603935.1'"", "" 'JN603940.1'"", "" 'JN603949.1'"", "" 'KP455987.1'""]","['298287', ' 298287', ' 298287', ' 96784', ' 1664066']",298266,"[""'OIW21822.1'""]",['3871'],3871,False,False,4,1,Eukaryota,Viridiplantae,298266,Eukaryota,Monomorphina,genus,euglenoids,NA,NA,3.650767
NODE_596_length_382_cov_2.108197,CMS002_047b_Rb_S194_L004,0,0.4921465968586388,382,False,20,[],[],NA,"[""'SCQ72472.1'""]",['1744'],1744,False,False,0,1,NA,Bacteria,1744,Bacteria,Propionibacterium freudenreichii,species,high GC Gram+,Propionibacterium,NA,2.108197
NODE_10_length_1479_cov_2.029244,CMS002_047b_Rb_S194_L004,0,0.14672075726842462,1479,False,16,[],[],NA,"[""'WP_096772419.1'""]",['1579'],1579,False,False,0,1,NA,Bacteria,1579,Bacteria,Lactobacillus acidophilus,species,firmicutes,Lactobacillus,NA,2.029244
NODE_378_length_485_cov_3.539216,CMS002_047b_Rb_S194_L004,0,0.022680721649484537,485,False,NA,[],[],NA,"[""'CDG89398.1'""]",['1397851'],1397851,False,False,0,1,NA,Bacteria,1397851,Bacteria,Xenorhabdus bovienii str. feltiae France,no rank,enterobacteria,Xenorhabdus,NA,3.539216
NODE_856_length_326_cov_3.674699,CMS002_047b_Rb_S194_L004,0.9969325153374232,0.5950920245398773,326,False,17,"[""'FJ345357.1'"", "" 'GQ336996.1'""]","['5535', ' 662878']",162481,"[""'XP_018267523.1'""]",['578459'],578459,False,False,2,1,Fungi,Fungi,162481,Fungi,Microbotryomycetes,class,basidiomycetes,NA,NA,3.674699
NODE_263_length_552_cov_2.766316,CMS002_047b_Rb_S194_L004,0.9981884057971014,0.9710144927536232,552,False,15,"[""'JN603970.1'"", "" 'JN603971.1'"", "" 'JN603973.1'"", "" 'JN603975.1'"", "" 'JN603976.1'""]","['298287', ' 298287', ' 298287', ' 298287', ' 298287']",298287,"[""'AGV54820.1'"", "" 'EDS75288.1'"", "" 'EEP52328.1'""]","['3885', ' 428126', ' 632245']",131567,False,False,2,3,Eukaryota,NA,298287,Eukaryota,Monomorphina pseudonordstedti,species,euglenoids,Monomorphina,NA,2.766316
NODE_55_length_948_cov_2.530425,CMS002_047b_Rb_S194_L004,0,0.009928101265822784,948,False,2,[],[],NA,"[""'WP_116737113.1'""]",['2135469'],2135469,False,False,0,1,NA,Bacteria,2135469,Bacteria,Filimonas sp. YR581,species,CFB group bacteria,Filimonas,NA,2.530425
NODE_736_length_347_cov_2.470370,CMS002_047b_Rb_S194_L004,0.9971181556195964,0.8703170028818443,347,False,7,"[""'CP017345.1'"", "" 'FJ345357.1'"", "" 'GQ336996.1'"", "" 'MH427374.1'""]","['128442', ' 5535', ' 662878', ' 5535']",451864,"[""'OFQ97202.1'"", "" 'XP_018267510.1'""]","['1739413', ' 578459']",131567,False,False,3,2,Fungi,NA,451864,Fungi,Dikarya,subkingdom,fungi,NA,NA,2.470370
NODE_216_length_602_cov_2.329524,CMS002_047b_Rb_S194_L004,0,0.9102990033222592,602,False,83,[],[],NA,"[""'YP_009305109.1'""]",['1608134'],1608134,False,False,0,1,NA,Viruses,1608134,Viruses,Wuhan Mosquito Virus 9,species,viruses,NA,NA,2.329524
NODE_159_length_677_cov_8.448333,CMS002_047b_Rb_S194_L004,0.998522895125554,0.9940915805022156,677,False,15,"[""'FJ345357.1'"", "" 'GQ336996.1'"", "" 'MH047191.1'""]","['5535', ' 662878', ' 5278']",162481,"[""'XP_002484510.1'""]",['441959'],441959,False,False,3,1,Fungi,Fungi,162481,Fungi,Microbotryomycetes,class,basidiomycetes,NA,NA,8.448333
NODE_2_length_10863_cov_24.099388,CMS002_047b_Rb_S194_L004,0.9994476663905,0.9719230415170764,10863,False,37,"[""'KX883772.1'""]",['1923335'],1923335,"[""'YP_009337412.1'""]",['1923335'],1923335,False,False,1,1,Viruses,Viruses,1923335,Viruses,Hubei virga-like virus 2,species,viruses,NA,NA,24.099388
NODE_5_length_1963_cov_5.369035,CMS002_047b_Rb_S194_L004,0.9994905756495159,0.4595007641365258,1963,False,14,"[""'KP455987.1'""]",['1664066'],1664066,"[""'KRH38400.1'""]",['3847'],3847,False,False,1,1,Eukaryota,Viridiplantae,1664066,Eukaryota,Monomorphina parapyrum,species,euglenoids,Monomorphina,NA,5.369035
NODE_162_length_674_cov_2.087102,CMS002_047b_Rb_S194_L004,0,0.4540059347181009,674,False,46,[],[],NA,"[""'AYE66860.1'""]",['4081'],4081,False,False,0,1,NA,Viridiplantae,4081,Viridiplantae,Solanum lycopersicum,species,eudicots,Solanum,tomato,2.087102
NODE_96_length_817_cov_2.093243,CMS002_047b_Rb_S194_L004,0,0.015212399020807834,817,False,3,[],[],NA,"[""'ALG05279.2'""]",['1701325'],1701325,False,False,0,1,NA,Bacteria,1701325,Bacteria,uncultured bacterium 5G12,species,bacteria,NA,NA,2.093243
NODE_564_length_392_cov_2.104762,CMS002_047b_Rb_S194_L004,0,0.6734693877551021,392,False,21,[],[],NA,"[""'POR38164.1'"", "" 'XP_001862428.1'""]","['94208', ' 7176']",33154,False,False,0,2,NA,Eukaryota,33154,Eukaryota,Opisthokonta,no rank,eukaryotes,NA,NA,2.104762
NODE_665_length_363_cov_2.017483,CMS002_047b_Rb_S194_L004,0.977961432506887,0.8595041322314051,363,False,33,"[""'CP003011.1'"", "" 'DQ493955.1'""]","['578455', ' 242507']",222544,"[""'GAW26663.1'""]",['77044'],77044,False,False,2,1,Fungi,Fungi,222544,Fungi,Sordariomycetidae,subclass,ascomycetes,NA,NA,2.017483
NODE_891_length_320_cov_2.917695,CMS002_047b_Rb_S194_L004,0.996875,0.9875,320,False,66,"[""'FJ545743.1'""]",['94289'],94289,"[""'EJY65597.1'"", "" 'EJY66653.1'""]","['1172189', ' 1172189']",1172189,False,False,1,2,Eukaryota,Eukaryota,94289,Eukaryota,Sterkiella histriomuscorum,species,ciliates,Sterkiella,NA,2.917695
NODE_303_length_525_cov_2.225446,CMS002_047b_Rb_S194_L004,0.998095238095238,0.9904761904761904,525,False,71,"[""'KC557549.1'"", "" 'KM222120.1'"", "" 'KM222122.1'""]","['175245', ' 1590123', ' 1286065']",2759,"[""'CDW75723.1'"", "" 'EJY65597.1'"", "" 'EJY66653.1'""]","['5949', ' 1172189', ' 1172189']",57506,False,False,3,2,Eukaryota,Eukaryota,2759,Eukaryota,Eukaryota,superkingdom,eukaryotes,NA,eucaryotes,2.225446
NODE_682_length_360_cov_3.756184,CMS002_047b_Rb_S194_L004,0,0.25277777777777777,360,False,8,[],[],NA,"[""'KRH17771.1'""]",['3847'],3847,False,False,0,1,NA,Viridiplantae,3847,Viridiplantae,Glycine max,species,eudicots,Glycine,soybean,3.756184
NODE_407_length_467_cov_41.179487,CMS002_047b_Rb_S194_L004,0,0.5610278372591007,467,False,33,[],[],NA,"[""'AUT77206.1'"", "" 'AUT77210.1'""]","['2079148', ' 2079148']",2079148,False,False,0,2,NA,Viruses,2079148,Viruses,Culex pipiens associated Tunisia virus,species,viruses,NA,NA,41.179487
NODE_1_length_11763_cov_406.947715,CMS002_047g_Rb_S200_L004,0.9353906316415881,0.8978151832015643,11763,False,32,"[""'KX883772.1'""]",['1923335'],1923335,"[""'YP_009337412.1'""]",['1923335'],1923335,False,False,1,1,Viruses,Viruses,1923335,Viruses,Hubei virga-like virus 2,species,viruses,NA,NA,406.947715
NODE_428_length_493_cov_41.024038,CMS002_047g_Rb_S200_L004,0.9979716024340772,0.9898580121703854,493,False,118,"[""'KX883126.1'""]",['1923664'],1923664,"[""'YP_009342052.1'""]",['1923664'],1923664,False,False,1,1,Viruses,Viruses,1923664,Viruses,Wenzhou tombus-like virus 11,species,viruses,NA,NA,41.024038
NODE_30_length_1361_cov_32.317757,CMS002_047g_Rb_S200_L004,0.9992652461425422,0.5782512858192506,1361,False,78,"[""'AP012047.1'"", "" 'CP000361.1'"", "" 'CP006615.1'"", "" 'CP032097.1'"", "" 'CP032099.1'""]","['944546', ' 367737', ' 1036172', ' 913109', ' 1032239']",28196,"[""'CBA31922.1'""]",['667019'],667019,False,False,5,1,Bacteria,Bacteria,28196,Bacteria,Arcobacter,genus,e-proteobacteria,NA,NA,32.317757
NODE_3_length_5774_cov_2.876251,CMS002_047g_Rb_S200_L004,0,0.2897471423623138,5774,False,29,[],[],NA,"[""'AJT39579.1'"", "" 'AJT39583.1'"", "" 'AJT39585.1'"", "" 'AJT39589.1'""]","['1075826', ' 1075826', ' 1075826', ' 1075826']",1075826,False,False,0,2,NA,Viruses,1075826,Viruses,dsRNA virus environmental sample,species,viruses,NA,NA,2.876251
NODE_88_length_967_cov_2.320225,CMS002_047g_Rb_S200_L004,0,0.344364012409514,967,False,56,[],[],NA,"[""'WP_022978612.1'""]",['64002'],64002,False,False,0,1,NA,Bacteria,64002,Bacteria,Nevskia ramosa,species,g-proteobacteria,Nevskia,NA,2.320225
NODE_8_length_3043_cov_5.814565,CMS002_047g_Rb_S200_L004,0,0.007442405520867564,3043,False,4,[],[],NA,"[""'WP_025075089.1'""]",['871325'],871325,False,False,0,1,NA,Bacteria,871325,Bacteria,Bacteroides faecichinchillae,species,CFB group bacteria,Bacteroides,NA,5.814565
NODE_9_length_2566_cov_3.233829,CMS002_047g_Rb_S200_L004,0,0.9840218238503508,2566,False,99,[],[],NA,"[""'APG79115.1'""]",['1923182'],1923182,False,False,0,1,NA,Viruses,1923182,Viruses,Hubei reo-like virus 7,species,viruses,NA,NA,3.233829
NODE_10_length_2507_cov_81.287243,CMS002_047g_Rb_S200_L004,0.9996011168727564,0.7231751096928599,2507,False,42,"[""'KX883008.1'"", "" 'MH188025.1'""]","['1922928', ' 2304511']",10239,"[""'YP_009342052.1'""]",['1923664'],1923664,False,False,2,1,Viruses,Viruses,10239,Viruses,Viruses,superkingdom,viruses,NA,NA,81.287243
NODE_46_length_1157_cov_33.448148,CMS002_047g_Rb_S200_L004,0.9680207433016422,0.7986171132238548,1157,False,87,"[""'AP012047.1'"", "" 'CP000361.1'"", "" 'CP006615.1'"", "" 'MG196021.1'"", "" 'MG196023.1'""]","['944546', ' 367737', ' 1036172', ' 1315211', ' 1054034']",28196,"[""'CAJ30045.1'"", "" 'SCQ72472.1'""]","['431944', ' 1744']",2,False,False,5,2,Bacteria,Bacteria,28196,Bacteria,Arcobacter,genus,e-proteobacteria,NA,NA,33.448148
NODE_1384_length_286_cov_2.765550,CMS002_047g_Rb_S200_L004,0.9930069930069929,0.4370629370629371,286,False,21,"[""'CP022389.1'""]",['28188'],28188,"[""'SFR49050.1'""]",['400055'],400055,True,False,1,1,Bacteria,Bacteria,28188,Bacteria,Capnocytophaga canimorsus,species,CFB group bacteria,Capnocytophaga,NA,2.765550
NODE_271_length_597_cov_2.384615,CMS002_047g_Rb_S200_L004,0,0.9530988274706867,597,False,28,[],[],NA,"[""'APG79115.1'""]",['1923182'],1923182,False,False,0,1,NA,Viruses,1923182,Viruses,Hubei reo-like virus 7,species,viruses,NA,NA,2.384615
NODE_2_length_10890_cov_73.266346,CMS002_047g_Rb_S200_L004,0.995959595959596,0.8904499540863178,10890,False,44,"[""'MH634502.1'""]",['2079148'],2079148,"[""'AXG64331.1'""]",['2079148'],2079148,False,False,1,1,Viruses,Viruses,2079148,Viruses,Culex pipiens associated Tunisia virus,species,viruses,NA,NA,73.266346
NODE_1075_length_323_cov_40.052846,CMS002_047g_Rb_S200_L004,0.9969040247678018,0.9907120743034056,323,False,44,"[""'MH188025.1'""]",['2304511'],2304511,"[""'YP_009342052.1'""]",['1923664'],1923664,False,False,1,1,Viruses,Viruses,2304511,Viruses,Culex Hubei-like virus,species,viruses,NA,NA,40.052846
NODE_6_length_3625_cov_4.808625,CMS002_047g_Rb_S200_L004,0,0.8819310344827587,3625,False,26,[],[],NA,"[""'AIW39885.1'"", "" 'AIW39886.1'""]","['1567404', ' 1567404']",1567404,False,False,0,2,NA,Viruses,1567404,Viruses,Fako virus,species,viruses,NA,NA,4.808625
NODE_620_length_415_cov_3.505917,CMS002_047g_Rb_S200_L004,0.9638554216867471,0.8289156626506025,415,False,13,"[""'EU019262.2'"", "" 'EU019263.2'"", "" 'EU019264.2'"", "" 'XR_002991502.1'"", "" 'XR_003225852.1'""]","['29917', ' 1338630', ' 237183', ' 88036', ' 206008']",2759,"[""'KNE89549.1'""]",['1165861'],1165861,False,False,5,1,Eukaryota,Fungi,2759,Eukaryota,Eukaryota,superkingdom,eukaryotes,NA,eucaryotes,3.505917
NODE_308_length_574_cov_2.241449,CMS002_047g_Rb_S200_L004,0,0.5888501742160279,574,False,24,[],[],NA,"[""'WP_100144430.1'""]",['1977908'],1977908,False,False,0,1,NA,Bacteria,1977908,Bacteria,Limnohabitans sp. JirII-31,species,b-proteobacteria,Limnohabitans,NA,2.241449
NODE_536_length_443_cov_3.483607,CMS002_047g_Rb_S200_L004,0,0.9593679458239278,443,False,21,[],[],NA,"[""'SDP32246.1'""]",['443156'],443156,False,False,0,1,NA,Bacteria,443156,Bacteria,Phycicoccus dokdonensis,species,high GC Gram+,Phycicoccus,NA,3.483607
NODE_456_length_479_cov_24.609453,CMS002_047g_Rb_S200_L004,0.9979123173277662,0.9937369519832986,479,False,39,"[""'KX883008.1'"", "" 'KX883124.1'"", "" 'MH188025.1'""]","['1922928', ' 1922928', ' 2304511']",10239,"[""'APG76308.1'"", "" 'AXQ04813.1'"", "" 'YP_009330076.1'""]","['1922928', ' 2304511', ' 1922928']",10239,False,False,3,3,Viruses,Viruses,10239,Viruses,Viruses,superkingdom,viruses,NA,NA,24.609453
NODE_296_length_580_cov_47.572565,CMS002_047g_Rb_S200_L004,0.6211140517241379,0.8741379310344828,580,False,37,"[""'KX883126.1'""]",['1923664'],1923664,"[""'APG76310.1'""]",['1922928'],1922928,False,False,1,1,Viruses,Viruses,1922928,Viruses,Hubei mosquito virus 4,species,viruses,NA,NA,47.572565
NODE_247_length_627_cov_2.298182,CMS002_047g_Rb_S200_L004,0,0.15151515151515152,627,False,21,[],[],NA,"[""'WP_105193036.1'"", "" 'WP_105246488.1'""]","['1679466', ' 1679466']",1679466,False,False,0,2,NA,Bacteria,1679466,Bacteria,Apibacter adventoris,species,CFB group bacteria,Apibacter,NA,2.298182
NODE_132_length_828_cov_25.976032,CMS002_047g_Rb_S200_L004,0,0.4118357487922705,828,False,39,[],[],NA,"[""'AOE05678.1'""]",['77133'],77133,False,False,0,1,NA,Bacteria,77133,Bacteria,uncultured bacterium,species,bacteria,NA,NA,25.976032
NODE_68_length_1055_cov_4.079755,CMS002_047g_Rb_S200_L004,0,0.3213270142180095,1055,False,35,[],[],NA,"[""'KFD65016.1'""]",['68888'],68888,False,False,0,1,NA,Metazoa,68888,Metazoa,Trichuris suis,species,nematodes,Trichuris,pig whipworm,4.079755
NODE_1412_length_283_cov_7.364078,CMS002_047g_Rb_S200_L004,0.9964664310954064,0.9893992932862192,283,False,38,"[""'AP012047.1'"", "" 'AP012048.1'"", "" 'CP032097.1'"", "" 'MG196021.1'"", "" 'MG196023.1'""]","['944546', ' 944547', ' 913109', ' 1315211', ' 1054034']",2321108,"[""'AHJ14489.1'"", "" 'EEQ64505.1'"", "" 'EFR47746.1'""]","['1150621', ' 537972', ' 537971']",213849,True,False,5,3,Bacteria,Bacteria,2321108,Bacteria,Arcobacter group,no rank,e-proteobacteria,NA,NA,7.364078
NODE_26_length_1449_cov_34.879009,CMS002_047g_Rb_S200_L004,0.9965493443754312,0.9434092477570738,1449,False,56,"[""'KX883008.1'"", "" 'KX883124.1'"", "" 'KX883126.1'"", "" 'MH188025.1'""]","['1922928', ' 1922928', ' 1923664', ' 2304511']",10239,"[""'APG76308.1'"", "" 'AXQ04813.1'"", "" 'YP_009330076.1'""]","['1922928', ' 2304511', ' 1922928']",10239,False,False,4,3,Viruses,Viruses,10239,Viruses,Viruses,superkingdom,viruses,NA,NA,34.879009
NODE_289_length_584_cov_2.733728,CMS002_047g_Rb_S200_L004,0,0.273972602739726,584,False,22,[],[],NA,"[""'KFD46771.1'""]",['68888'],68888,False,False,0,1,NA,Metazoa,68888,Metazoa,Trichuris suis,species,nematodes,Trichuris,pig whipworm,2.733728
NODE_1102_length_320_cov_3.407407,CMS002_047g_Rb_S200_L004,0.996875,0.934375,320,False,377,"[""'CP031388.1'"", "" 'FJ345352.1'"", "" 'HG970335.2'"", "" 'LT571434.1'"", "" 'XR_001936376.1'""]","['877507', ' 169388', ' 5518', ' 1229665', ' 426428']",5125,"[""'GAW26663.1'""]",['77044'],77044,False,False,5,1,Fungi,Fungi,5125,Fungi,Hypocreales,order,ascomycetes,NA,NA,3.407407
NODE_242_length_634_cov_3.055655,CMS002_047g_Rb_S200_L004,0,0.2334384858044164,634,False,13,[],[],NA,"[""'WP_118951990.1'""]",['2301235'],2301235,False,False,0,1,NA,Bacteria,2301235,Bacteria,Taibaiella sp. F-4,species,CFB group bacteria,Taibaiella,NA,3.055655
NODE_564_length_434_cov_2.647059,CMS002_047g_Rb_S200_L004,0,0.8571428571428571,434,False,33,[],[],NA,"[""'AIW39885.1'"", "" 'AIW39886.1'""]","['1567404', ' 1567404']",1567404,False,False,0,2,NA,Viruses,1567404,Viruses,Fako virus,species,viruses,NA,NA,2.647059
NODE_272_length_596_cov_9.173410,CMS002_047g_Rb_S200_L004,0,0.3238255033557047,596,False,34,[],[],NA,"[""'KFD65016.1'""]",['68888'],68888,False,False,0,1,NA,Metazoa,68888,Metazoa,Trichuris suis,species,nematodes,Trichuris,pig whipworm,9.173410
NODE_444_length_488_cov_36.664234,CMS002_047g_Rb_S200_L004,0.9979508196721312,0.9938524590163934,488,False,48,"[""'MH188025.1'""]",['2304511'],2304511,"[""'APG76308.1'"", "" 'AXQ04814.1'"", "" 'YP_009330077.1'""]","['1922928', ' 2304511', ' 1922928']",10239,False,False,1,3,Viruses,Viruses,2304511,Viruses,Culex Hubei-like virus,species,viruses,NA,NA,36.664234
NODE_49_length_1151_cov_55.797020,CMS002_047g_Rb_S200_L004,0.9991311902693312,0.9973935708079932,1151,False,47,"[""'KX883008.1'"", "" 'KX883124.1'"", "" 'MH188025.1'""]","['1922928', ' 1922928', ' 2304511']",10239,"[""'APG76308.1'""]",['1922928'],1922928,False,False,3,1,Viruses,Viruses,10239,Viruses,Viruses,superkingdom,viruses,NA,NA,55.797020
NODE_1654_length_565_cov_3.143443,CMS001_003_Ra_S2,0.9982300884955752,0.5345132743362832,565,False,56,"[""'CP011303.1'"", "" 'CP022273.1'"", "" 'CP023009.1'"", "" 'CP025084.1'"", "" 'CP033162.1'""]","['614', ' 546', ' 1082704', ' 104623', ' 2482769']",91347,"[""'AVF37522.1'"", "" 'PNU42261.1'""]","['1805933', ' 911022']",1903411,False,False,5,2,Bacteria,Bacteria,91347,Bacteria,Enterobacterales,order,enterobacteria,NA,NA,3.143443
NODE_6517_length_321_cov_2.364754,CMS001_003_Ra_S2,0.9750778816199376,0.4174454828660436,321,False,45,"[""'LC322127.1'"", "" 'LC322128.1'"", "" 'XM_022587565.1'""]","['9913', ' 9940', ' 9749']",91561,"[""'XP_001863421.1'""]",['7176'],7176,False,False,3,1,Chordata,Arthropoda,91561,Chordata,Cetartiodactyla,no rank,even-toed ungulates,NA,"whales, hippos, ruminants, pigs, camels etc.",2.364754
NODE_1550_length_581_cov_3.047619,CMS001_003_Ra_S2,0,0.03857822719449226,581,False,2,[],[],NA,"[""'APG78256.1'""]",['1923023'],1923023,False,False,0,1,NA,Viruses,1923023,Viruses,Hubei partiti-like virus 17,species,viruses,NA,NA,3.047619
NODE_1248_length_631_cov_80.900722,CMS001_003_Ra_S2,0.9952456418383518,0.8066561014263075,631,False,12,"[""'KX061876.1'"", "" 'XM_025293985.1'"", "" 'XR_002740182.1'"", "" 'XR_003129431.1'"", "" 'XR_003313602.1'""]","['9593', ' 89462', ' 9685', ' 286419', ' 116960']",1437010,"[""'EXD08168.1'"", "" 'KRY64374.1'"", "" 'KRZ48505.1'"", "" 'OQY64528.1'""]","['1310558', ' 6337', ' 6335', ' 470']",131567,False,False,5,4,Chordata,NA,1437010,Chordata,Boreoeutheria,no rank,placentals,NA,NA,80.900722
NODE_7244_length_306_cov_57.296943,CMS001_003_Ra_S2,0.9967320261437908,0.7516339869281046,306,False,4206,"[""'CP027095.1'"", "" 'EU823286.1'"", "" 'JN412502.1'"", "" 'JN846872.1'"", "" 'NR_046271.1'""]","['72004', ' 9874', ' 89462', ' 100272', ' 9796']",2759,"[""'WP_071218889.1'""]",['470'],470,False,False,5,1,Eukaryota,Bacteria,2759,Eukaryota,Eukaryota,superkingdom,eukaryotes,NA,eucaryotes,57.296943
NODE_2557_length_474_cov_28.687657,CMS001_003_Ra_S2,0.9957805907172996,0.4409282700421941,474,False,14,"[""'KX061876.1'"", "" 'KX061879.1'"", "" 'KX061881.1'"", "" 'KX061884.1'"", "" 'KX061889.1'""]","['9593', ' 61853', ' 9544', ' 9483', ' 61853']",314293,"[""'OIC39171.1'"", "" 'OIC69130.1'"", "" 'PCQ40107.1'"", "" 'RJF55190.1'"", "" 'RJF56792.1'""]","['470', ' 470', ' 546', ' 195', ' 195']",1224,False,False,4,4,Chordata,Bacteria,314293,Chordata,Simiiformes,infraorder,primates,NA,NA,28.687657
NODE_5186_length_355_cov_2.384892,CMS001_003_Ra_S2,0,0.9633802816901408,355,False,13,[],[],NA,"[""'PIK51386.1'""]",['307972'],307972,False,False,0,1,NA,Metazoa,307972,Metazoa,Apostichopus japonicus,species,sea cucumbers,Apostichopus,Japanese sea cucumber,2.384892
NODE_6099_length_331_cov_2.299213,CMS001_003_Ra_S2,0,0.22356495468277945,331,False,2,[],[],NA,"[""'XP_014398301.1'"", "" 'XP_020769847.1'""]","['109478', ' 9880']",314145,False,False,0,2,NA,Chordata,314145,Chordata,Laurasiatheria,superorder,placentals,NA,NA,2.299213
NODE_4629_length_373_cov_2.297297,CMS001_003_Ra_S2,0.9973190348525468,0.9517426273458444,373,False,16,"[""'CP001759.1'"", "" 'CP015994.2'"", "" 'CP023730.1'""]","['574556', ' 1248439', ' 770']",768,"[""'CAJ30047.1'""]",['431944'],431944,False,False,3,1,Bacteria,Bacteria,768,Bacteria,Anaplasma,genus,a-proteobacteria,NA,NA,2.297297
