Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#318 - >LIHLNHBE_00318 hypothetical protein	superfamily	307203	195	1058	3.68007e-104	360.097	cl15638	Mononeg_RNA_pol superfamily	 - 	 - 
Q#318 - >LIHLNHBE_00318 hypothetical protein	superfamily	316808	1105	1330	1.14218e-27	113.629	cl16796	Mononeg_mRNAcap superfamily	 - 	 - 
Q#318 - >LIHLNHBE_00318 hypothetical protein	superfamily	332632	1200	1961	6.7089e-13	74.0674	cl27811	G-7-MTase superfamily	 - 	 - 
Q#321 - >LIHLNHBE_00321 hypothetical protein	specific	238843	2589	2878	6.65635e-63	216.766	cd01699	RNA_dep_RNAP	 - 	cl02808
Q#321 - >LIHLNHBE_00321 hypothetical protein	specific	279280	1672	1778	2.99168e-18	82.2837	pfam00910	RNA_helicase	 - 	cl21455
Q#321 - >LIHLNHBE_00321 hypothetical protein	specific	119412	703	873	2.93102e-16	78.9772	cd00205	rhv_like	 - 	cl13999
Q#321 - >LIHLNHBE_00321 hypothetical protein	superfamily	353801	1155	1297	3.82828e-08	55.48	cl13999	rhv_like superfamily	 - 	 - 
Q#321 - >LIHLNHBE_00321 hypothetical protein	superfamily	353801	438	592	4.13053e-08	55.48	cl13999	rhv_like superfamily	 - 	 - 
Q#322 - >LIHLNHBE_00322 Replicase polyprotein P2AB	superfamily	295487	69	289	5.39891e-11	62.3008	cl02808	RT_like superfamily	 - 	 - 
Q#323 - >LIHLNHBE_00323 hypothetical protein	superfamily	223039	325	490	0.00380046	39.7693	cl33723	PHA03307 superfamily	C	 - 
Q#325 - >LIHLNHBE_00325 hypothetical protein	superfamily	295487	147	566	1.81239e-42	161.474	cl02808	RT_like superfamily	 - 	 - 
Q#327 - >LIHLNHBE_00327 hypothetical protein	superfamily	356817	39	222	1.98863e-16	74.4173	cl29941	Viral_coat superfamily	 - 	 - 
Q#328 - >LIHLNHBE_00328 hypothetical protein	specific	238843	1330	1645	4.37914e-76	253.745	cd01699	RNA_dep_RNAP	 - 	cl02808
Q#328 - >LIHLNHBE_00328 hypothetical protein	specific	279280	286	398	9.38192e-31	117.337	pfam00910	RNA_helicase	 - 	cl21455
Q#328 - >LIHLNHBE_00328 hypothetical protein	superfamily	278947	929	1126	6.37388e-07	50.909	cl02893	Peptidase_C3 superfamily	 - 	 - 
Q#329 - >LIHLNHBE_00329 Structural polyprotein	specific	255023	93	292	1.4693e-60	190.84	pfam08762	CRPV_capsid	 - 	cl07393
Q#334 - >LIHLNHBE_00334 hypothetical protein	superfamily	282102	922	1270	1.84517e-09	62.875	cl20265	Bunya_RdRp superfamily	N	 - 
Q#337 - >LIHLNHBE_00337 hypothetical protein	superfamily	111059	182	307	8.8073e-07	49.6844	cl09540	Peptidase_S39 superfamily	N	 - 
Q#337 - >LIHLNHBE_00337 hypothetical protein	superfamily	351712	14	61	0.0016673	40.8058	cl02259	YibE_F superfamily	NC	 - 
Q#338 - >LIHLNHBE_00338 hypothetical protein	superfamily	295487	37	289	1.68857e-09	58.6259	cl02808	RT_like superfamily	N	 - 
Q#340 - >LIHLNHBE_00340 hypothetical protein	superfamily	356817	82	219	2.21613e-05	43.6014	cl29941	Viral_coat superfamily	N	 - 
Q#345 - >LIHLNHBE_00345 hypothetical protein	specific	312240	4	76	1.62672e-05	45.1592	pfam08648	DUF1777	C	cl37785
Q#346 - >LIHLNHBE_00346 hypothetical protein	superfamily	180526	10	65	0.00179106	34.8813	cl32137	PRK06315 superfamily	N	 - 
Q#352 - >LIHLNHBE_00352 hypothetical protein	superfamily	307627	233	315	0.00423669	39.7738	cl37647	Myosin_tail_1 superfamily	NC	 - 
Q#356 - >LIHLNHBE_00356 hypothetical protein	superfamily	334070	2	59	0.00359291	35.7365	cl28744	VP4_haemagglut superfamily	N	 - 
Q#359 - >LIHLNHBE_00359 hypothetical protein	superfamily	310384	1	50	7.1056e-09	51.962	cl05345	Tenui_N superfamily	NC	 - 
Q#360 - >LIHLNHBE_00360 hypothetical protein	superfamily	307047	57	190	9.12355e-07	46.8525	cl20208	TMV_coat superfamily	 - 	 - 
Q#361 - >LIHLNHBE_00361 hypothetical protein	specific	250270	2879	3301	4.78117e-101	333.073	pfam00978	RdRP_2	 - 	cl03049
Q#361 - >LIHLNHBE_00361 hypothetical protein	specific	307550	2460	2722	1.52716e-30	121.714	pfam01443	Viral_helicase1	 - 	cl26263
Q#361 - >LIHLNHBE_00361 hypothetical protein	superfamily	307679	189	465	7.21639e-21	95.8181	cl03298	Vmethyltransf superfamily	 - 	 - 
Q#361 - >LIHLNHBE_00361 hypothetical protein	superfamily	223039	1200	1480	3.90545e-14	79.0597	cl33723	PHA03307 superfamily	C	 - 
Q#361 - >LIHLNHBE_00361 hypothetical protein	specific	334653	988	1140	7.00575e-11	63.3702	pfam01728	FtsJ	 - 	cl17173
Q#363 - >LIHLNHBE_00363 hypothetical protein	specific	250270	2073	2509	3.58817e-104	341.932	pfam00978	RdRP_2	 - 	cl03049
Q#363 - >LIHLNHBE_00363 hypothetical protein	specific	307550	1673	1912	8.23011e-35	133.655	pfam01443	Viral_helicase1	 - 	cl26263
Q#363 - >LIHLNHBE_00363 hypothetical protein	superfamily	307679	50	310	1.62546e-23	103.522	cl03298	Vmethyltransf superfamily	C	 - 
Q#363 - >LIHLNHBE_00363 hypothetical protein	specific	334653	1174	1355	9.52309e-16	77.2374	pfam01728	FtsJ	 - 	cl17173
Q#374 - >LIHLNHBE_00374 hypothetical protein	superfamily	307203	217	1074	4.2596e-119	404.395	cl15638	Mononeg_RNA_pol superfamily	 - 	 - 
Q#374 - >LIHLNHBE_00374 hypothetical protein	superfamily	332632	1248	2013	2.41174e-38	156.885	cl27811	G-7-MTase superfamily	C	 - 
Q#378 - >LIHLNHBE_00378 hypothetical protein	superfamily	274008	134	253	0.000910418	41.9659	cl37069	SMC_prok_B superfamily	NC	 - 
Q#381 - >LIHLNHBE_00381 hypothetical protein	superfamily	295487	210	666	7.16465e-38	148.377	cl02808	RT_like superfamily	 - 	 - 
Q#383 - >LIHLNHBE_00383 hypothetical protein	superfamily	295487	302	666	2.37277e-39	152.615	cl02808	RT_like superfamily	N	 - 
Q#384 - >LIHLNHBE_00384 RNA-directed RNA polymerase	specific	340216	897	990	5.40352e-36	131.308	pfam17501	Viral_RdRp_C	 - 	cl38772
Q#384 - >LIHLNHBE_00384 RNA-directed RNA polymerase	superfamily	295487	583	734	0.00233702	40.7296	cl02808	RT_like superfamily	N	 - 
Q#385 - >LIHLNHBE_00385 hypothetical protein	superfamily	148700	745	1234	2.33652e-30	126.877	cl09431	Phlebovirus_G2 superfamily	 - 	 - 
Q#385 - >LIHLNHBE_00385 hypothetical protein	superfamily	311284	474	685	0.00710895	40.2032	cl06326	Phlebovirus_G1 superfamily	N	 - 
Q#388 - >LIHLNHBE_00388 hypothetical protein	superfamily	351939	1	31	0.00131107	37.9766	cl03075	GrpE superfamily	C	 - 
Q#397 - >LIHLNHBE_00397 hypothetical protein	specific	240668	86	123	0.00895098	33.8177	cd00590	RRM_SF	C	cl17169
Q#401 - >LIHLNHBE_00401 hypothetical protein	superfamily	310384	11	236	2.01325e-19	83.9336	cl05345	Tenui_N superfamily	 - 	 - 
Q#403 - >LIHLNHBE_00403 hypothetical protein	superfamily	253459	173	387	3.57277e-05	46.6109	cl05469	Mitovir_RNA_pol superfamily	C	 - 
Q#404 - >LIHLNHBE_00404 hypothetical protein	superfamily	310384	11	207	4.32237e-18	80.0816	cl05345	Tenui_N superfamily	 - 	 - 
Q#417 - >LIHLNHBE_00417 hypothetical protein	superfamily	310384	11	227	3.14109e-21	88.556	cl05345	Tenui_N superfamily	 - 	 - 
Q#420 - >LIHLNHBE_00420 Capsid protein alpha	superfamily	307786	47	356	7.53525e-42	149.154	cl03372	Peptidase_A6 superfamily	 - 	 - 
Q#425 - >LIHLNHBE_00425 hypothetical protein	superfamily	307203	263	1008	3.81928e-62	232.596	cl15638	Mononeg_RNA_pol superfamily	N	 - 
Q#428 - >LIHLNHBE_00428 hypothetical protein	superfamily	356817	62	220	8.8083e-10	55.9277	cl29941	Viral_coat superfamily	 - 	 - 
Q#429 - >LIHLNHBE_00429 hypothetical protein	superfamily	356817	62	220	8.8083e-10	55.9277	cl29941	Viral_coat superfamily	 - 	 - 
Q#431 - >LIHLNHBE_00431 hypothetical protein	superfamily	295487	35	289	5.80982e-10	60.1667	cl02808	RT_like superfamily	N	 - 
Q#432 - >LIHLNHBE_00432 hypothetical protein	superfamily	223021	418	639	1.98891e-07	54.5593	cl33720	PHA03247 superfamily	N	 - 
Q#432 - >LIHLNHBE_00432 hypothetical protein	superfamily	354881	176	289	0.00943036	36.5796	cl21584	Tryp_SPc superfamily	 - 	 - 
Q#433 - >LIHLNHBE_00433 hypothetical protein	superfamily	295487	22	261	1.70296e-11	65.085	cl02808	RT_like superfamily	NC	 - 
