Sample	ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	mismatches	uncertainty	depth	maxMAF	ADC_Bla	AMPH_Ecoli_Bla	Aac3-IIa_AGly	Aac3-I_AGly	Aac3-Iva_AGly	Aac6-32_AGly	Aac6-33_AGly	Aac6-IIc_AGly	Aac6-Iaf_AGly	AacAad_AGly	AadA4-5_AGly	AadA_AGly	AadB_AGly	AmpC1_Ecoli_Bla	AmpC2_Ecoli_Bla	AmpH_Bla	Aph3''Ia_AGly	Aph4-Ia_AGly	AphA6_AGly	ArmA_AGly	Arr_Rif	BlaA1_Bla	BlaA2_Bla	CMY_Bla	CTX-M-1_Bla	CTX-M-9_Bla	CatA1_Phe	CatA2_Phe	CatBx_Phe	CmlA_Phe	DHA_Bla	DfrA1_Tmt	DfrA27_Tmt	DfrA5_Tmt	DfrA7_Tmt	DfrA8_Tmt	DfrA_Tmt	DfrB_Tmt	EreA_MLS	Erm42_MLS	ErmB_MLS	ErmC_MLS	FloR_Phe	FosA_Fcyn	IMP-1_Bla	KPC-1_Bla	LAP_Bla	Mbl_Bla	MphA_MLS	MphE_MLS	MrdA_Bla	MsrE_MLS	NDM-1_Bla	OXA-1_Bla	OXA-237_Bla	OXA-2_Bla	OXA-48_Bla	OXA-51_Bla	OXA-7_Bla	OXA-9_Bla	OqxA_Flq	OqxB_Flq	Qnr-A_Flq	Qnr-S_Flq	QnrB_Flq	RmtB_AGly	RmtC_AGly	RmtF_AGly	SHV-OKP-LEN_Bla	Sat-2A_AGly	StrA_AGly	StrB_AGly	SulIII_Sul	SulII_Sul	SulI_Sul	TEM-1D_Bla	TetA_Tet	TetB_Tet	TetC_Tet	TetD_Tet	VIM-1_Bla	Zn-dependent_hydrolase_Bla
18AC0000509_1	716	71	1	1	2	16	4	164	0	-	154.174857143	0.2	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-27_1297	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-198_1035*	TetA_1545	-	-	-	-	-
18AC0000944_1	368	16	18	21	38	78	22	67	0	-	51.7754285714	0.169491525424	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	LEN-3_1412*	-	-	-	-	-	-	-	TetA_1545	-	-	-	-	-
18AC0002048_1	258	3	3	1	1	1	1	79	0	-	62.1108571429	0.238095238095	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2_797	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-79_932*	-	-	-	-	-	-
18AC0002554_1	15	1	1	1	1	1	1	1	0	-	63.3292857143	0.289473684211	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	ErmB_841*?	-	-	-	-	-	-	-	MphA_1663*?	-	-	-	NDM-5_1224	OXA-1_520*?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	RmtB_1580	-	-	SHV-100_1362	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-206_1712*	TetA_1545	-	-	-	-	-
18AC0002689_1	258	3	3	1	1	1	1	79	0	-	70.5721428571	0.214285714286	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	-	TEM-150_999*	-	-	-	-	-	-
18AC0002741_1	30	5	3	1	1	9	4	26	0	-	89.116	0.186046511628	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	CMY-44_409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-71_1337	-	-	-	-	-	-	-	-	-	-	-	-	-
18AC0003176_1	716	71	1	1	2	16	4	164	0	-	97.4244285714	0.285714285714	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-27_1297	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
18AC0003181_1	258	3	3	1	1	1	1	79	0	-	69.3392857143	0.259259259259	-	-	Aac3-IId_884*	-	-	-	-	-	-	Aac6-Ib_1677	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	-	TEM-206_1712*	-	-	-	-	-	-
18AC0003182_1	258	3	3	1	1	1	1	79	0	-	44.1062857143	0.271428571429	-	-	Aac3-IId_884*	-	-	-	-	-	-	Aac6-Ib_1677	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	-	TEM-206_1712*	-	-	-	-	-	-
18AC0003183_1	16*	2	1	2	1	4	4	4*	tonB_4/1snp	-	59.7462857143	0.2	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
18AC0003846_1	258	3	3	1	1	1	1	79	0	-	50.87	0.20253164557	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	SulI_1616	TEM-141_990*	-	-	-	-	-	-
18AC0004109_1	37	2	9	2	1	13	1	16	0	-	30.4517142857	0.277777777778	ADC-30_1765?	-	-	-	-	-	-	-	-	Aac6-Ib_1677*?	-	AadA24_1688*?	-	-	-	AmpH_634*	-	-	-	ArmA_65?	-	BlaA1_1063*?	BlaA2_1542*?	-	-	-	-	-	CatB8_603	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2_797	-	Mbl_329*	-	MphE_788*	-	MsrE_303	-	-	OXA-237_530	-	-	OXA-66_653?	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	StrA_1501	StrB_1614	-	SulII_1219	SulI_1616	TEM-206_1712*	-	TetB_1213*?	-	-	-	Zn-dependent_hydrolase_574*
18AC0004614_1	307	4	1	2	52	1	1	7	0	-	46.3617142857	0.257575757576	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-100_1362*	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
18AC0005195_1	25	2	1	1	1	10	4	13	0	-	58.4972857143	0.2125	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*?	OqxB_49*?	-	-	QnrB1_1*	-	-	-	SHV-110_1372*	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
18AC0005296_1	716	71	1	1	2	16	4	164	0	-	73.6284285714	0.311475409836	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-27_1297	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	TetA_1545	-	-	-	-	-
18AC0005297_1	6	2	10	1	1	14	3	20	0	-	47.6041428571	0.193548387097	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	-	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-148_1391*?	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-206_1712*	-	-	-	-	-	-
18AC0005300_1	147	3	4	6	1	7	4	38	0	-	30.9522857143	0.2	-	AMPH_615*?	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA2_1605*	-	-	AmpC2_346*?	AmpH_634*	-	-	-	-	Arr2_274	-	-	-	CTX-M-15_150	-	-	-	-	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	-	-	-	-	-	MrdA_836*?	-	NDM-5_1224	OXA-1_520*?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455*	-	-	-	RmtF_68	SHV-67_1334*	-	-	-	-	-	SulI_1616	TEM-150_999*	-	-	-	-	-	-
18AC0005301_1	16*	2	1	2	1	4	4	4*	tonB_4/1snp	-	41.92	0.212121212121	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
18AC0006185_1	307	4	1	2	52	1	1	7	0	-	98.6708571429	0.216049382716	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-100_1362*	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-198_1035*	-	-	-	-	-	-
18AC0006186_1	37	2	9	2	1	13	1	16	0	-	74.8618571429	0.283018867925	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2_797	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	-	-	-	-	-	TEM-206_1712*	-	-	-	-	-	-
18AC0007740_1	147	3	4	6	1	7	4	38	0	-	53.5451428571	0.230769230769	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	AphA6_66*?	-	-	-	-	-	CTX-M-15_150	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	NDM-1_1220	-	-	-	-	-	-	OXA-9_1619	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455	-	-	-	-	SHV-67_1334*	-	-	-	-	-	SulI_1616	TEM-98_951*?	-	-	-	-	-	-
18AC0007741_1	147	3	4	6	1	7	4	38	0	-	62.9534285714	0.333333333333	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	AphA6_66*	-	-	-	-	-	CTX-M-15_150	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	NDM-1_1220	-	-	-	-	-	-	OXA-9_1619	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455	-	-	-	-	SHV-67_1334*	-	-	-	-	-	SulI_1616	TEM-150_999*	-	-	-	-	-	-
18AC0008887_1	NF*	3	1	2	4	248*	1	4	phoE_248/1snp	-	71.6232857143	0.25	-	-	Aac3-IId_884*	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	CatA1_1470*	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	ErmB_841*	-	-	-	-	-	-	-	MphA_1663*?	-	-	-	NDM-5_1224	OXA-1_520	-	-	OXA-181_262*	-	-	-	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455	QnrB1_1	RmtB_1580	-	-	SHV-31_1301	-	-	-	-	-	SulI_1616	TEM-206_1712*	-	-	-	-	-	-
18AC0008891_1	258	3	3	1	1	1	1	79	0	-	80.9065714286	0.333333333333	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-171_1017*	-	-	-	-	-	-
18AC0009163_1	16*	2	1	2	1	4	4	4*	tonB_4/1snp	-	72.3292857143	0.25	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	OXA-1_520	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
18AC0009164_1	15	1	1	1	1	1	1	1	0	-	83.0614285714	0.192307692308	-	-	-	-	-	-	-	Aac6-IIc_1195	-	Aac6-Ib_1677	-	AadA1-pm_1597*	-	-	-	AmpH_634*	-	-	-	-	Arr2_274	-	-	-	CTX-M-15_150	-	-	-	-	CmlA5_1538	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	EreA2_48	-	-	-	FloR_1212*	-	-	-	-	-	MphA_1663	-	-	-	NDM-5_1224	-	-	-	-	-	OXA-10_1515	-	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455	QnrB2_11	-	-	-	SHV-100_1362	-	-	-	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	TetD_1047	-	-
18AC0009165_1	258	3	3	1	1	1	1	79	0	-	45.2901428571	0.276923076923	-	-	Aac3-IId_884*	-	-	-	-	-	-	Aac6-Ib_1677	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	-	-	-	-	-	TEM-206_1712*	-	-	-	-	-	-
18AC0009232_1	14	1	6	1	1	1	1	1	0	-	84.5168571429	0.267175572519	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-120_1373*	-	-	-	-	-	-	-	-	-	-	TetD_1047	-	-
18AC0010444_1	258	3	3	1	1	1	1	79	0	-	90.528	0.241379310345	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	-	-	-
18AC0010539_1	258	3	3	1	1	1	1	79	0	-	106.207714286	0.220588235294	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	-	-	-
18AC0010861_1	15	1	1	1	1	1	1	1	0	-	44.3687142857	0.333333333333	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*	-	-	-	AmpH_634*	-	-	-	-	Arr2_274	-	-	-	-	-	-	-	-	CmlA5_1538	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	FloR_1212*	-	-	-	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	OXA-10_1515	-	OqxA_1044*	OqxB_49*	-	-	QnrB2_11	-	-	-	SHV-100_1362	-	-	-	-	SulII_1219	SulI_1616	TEM-189_1027*	-	-	-	TetD_1047	-	-
18AC0010982_1	NF*	3	3	1	1	248*	1	79	phoE_248/1snp	-	32.2844285714	0.175	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	DfrA1_319	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	QnrB38_31*	-	-	-	SHV-11_1287	Sat-2A_1088	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-98_951*?	-	-	-	-	-	-
18AC0013096_1	258	3	3	1	1	1	1	79	0	-	50.0951428571	0.225352112676	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677*	-	AadA15_1602*	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	DfrA14_322	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-3_798	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-12_1288	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-150_999*	-	-	-	-	-	-
18AC0013145_1	16*	2	1	2	1	4	4	4*	tonB_4/1snp	-	30.6544285714	0.357142857143	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
18AC0013146_1	16*	2	1	2	1	4	4	4*	tonB_4/1snp	-	30.0012857143	0.157894736842	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	AadA2_1605*	-	-	-	AmpH_634*	Aph3-Ia_1218*	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	DfrA12_1089	-	-	-	-	-	-	-	-	KPC-2_797	-	-	MphA_1663	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	-	-	-	-	-	-	-
18AC0013234_1	35	2	1	2	1	10	1	19	0	-	49.467	0.236111111111	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA1_319	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2_797	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-33_1303	-	-	-	-	-	SulI_1616	TEM-206_1712*	TetA_1545	-	-	-	-	-
18AC0013548_1	42	2	6	1	3	8	1	15	0	-	81.0327142857	0.338709677419	-	-	Aac3-IId_884*	-	-	-	-	-	-	-	AadA5_1497	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	CatA1_1470*	-	-	-	-	-	-	-	DfrA17_316	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	-	-	-	-	-	-	OXA-9_1619*	OqxA_1044*	OqxB_49*	-	-	-	-	-	-	SHV-148_1391*?	-	-	-	-	-	SulI_1616	TEM-206_1712*	TetA_1545*	-	-	-	-	-
18AC0013592_1	35	2	1	2	1	10	1	19	0	-	70.7075714286	0.196261682243	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA1_319	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2_797	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-33_1303	-	-	-	-	-	SulI_1616	TEM-105_956*	TetA_1545	-	-	-	-	-
18AC0014868_1	1017	2	2	2	1	1	4	34	0	-	56.3778571429	0.272727272727	-	-	-	-	-	-	-	-	-	Aac6Ib-cr_1678*	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-85_1351*	-	-	-	-	-	-	-	-	-	-	-	-	-
18AC0015009_1	NF*	1	1	1	1	248*	1	1	phoE_248/1snp	-	59.1101428571	0.0925925925926	-	-	Aac3-IId_884*	-	-	-	-	-	-	Aac6Ib-cr_1678*	AadA5_1497	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	DfrA17_316	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-31_1301	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-206_1712*	-	-	-	-	-	-
18AC0015011_1	15	1	1	1	1	1	1	1	0	-	33.4245714286	0.114285714286	-	-	Aac3-IIa_882*	-	-	-	-	-	-	Aac6Ib-cr_1678*	AadA5_1497	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	CTX-M-15_150	-	-	-	CatB4_602	-	-	-	-	DfrA14_322	DfrA17_316	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA_1663	-	-	-	-	OXA-1_520?	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	-	QnrB1_1*	-	-	-	SHV-31_1301	-	StrA_1501*	StrB_1614	-	SulII_1219	SulI_1616	TEM-33_908*	-	-	-	-	-	-
18AC0018735_1	792	2	7	1	26	1	4	4	0	-	89.911	0.226666666667	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	CTX-M-14_102	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OqxA_1044*	OqxB_49*	-	Qnr-S1_1455	-	-	-	-	SHV-122_1375*	-	-	-	-	-	-	-	-	-	-	-	-	-
18AC0018802_1	258	3	3	1	1	1	1	79	0	-	39.1795714286	0.192307692308	-	-	-	-	-	-	-	-	-	Aac6-Ib_1677	-	AadA1-pm_1597*?	-	-	-	AmpH_634*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA14_322	-	-	-	-	-	-	-	-	-	-	-	KPC-3_798	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-9_1619	OqxA_1044	OqxB_49	-	-	-	-	-	-	SHV-11_1287	-	StrA_1501*	StrB_1614	-	SulII_1219	-	TEM-150_999*	-	-	-	-	-	-
